filename,x,y,z,qx,qy,qz,qw
1750660514139256477.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1750660517206097602.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1750660520214331150.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1750660523280544042.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1750660526320480585.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1750660529367224216.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1750660532477124929.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1750660535520502567.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1750660538561293601.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1750660541572192907.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1750660544597682952.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1750660547629484653.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1750660550688060998.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1750660553711543321.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1750660556721197128.jpg,0.12341348707256793,-0.02891272783939191,0.0,0.0,0.0,-0.002215803076609096,0.9999975451053496
1750660559748006343.jpg,1.8174124037283412,-0.9617504482838762,0.0,0.0,0.0,-0.5386371114147389,0.842537869894752
1750660562841102600.jpg,1.512604029787587,-3.1232211731650503,0.0,0.0,0.0,-0.9651643029146094,0.2616445458620456
1750660565952322483.jpg,-0.7820863474427466,-3.960491827687539,0.0,0.0,0.0,-0.9665817330053081,0.25635864218015975
1750660568969926357.jpg,-2.281070285150547,-4.85751107852286,0.0,0.0,0.0,-0.9724144780636984,0.23325968972821887
1750661243957657098.jpg,-2.6877706819909237,-4.912842482079044,0.0,0.0,0.0,-0.9962947997270891,0.08600390710170862
1750661247005794048.jpg,-2.6877706819909237,-4.912842482079044,0.0,0.0,0.0,-0.9962947997270891,0.08600390710170862
